127.0.0.1 - - [20/Jan/2022:10:12:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:36 +0530] "GET /project4/ HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:37 +0530] "GET /project4/img/Logo.jpg HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:38 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:41 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:43 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:43 +0530] "GET /project4/UserRegistrationCtl HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:43 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:46 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:46 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:46 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:49 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5083
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:49 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:12:49 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:13:01 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:13:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:13:01 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:13:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
