0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5030
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /project4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:10 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:11 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:19 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5187
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:19 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:19 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:42 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:42 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:42 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:57 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:57 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:57 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:19 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:22 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:25 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:27 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:27 +0530] "GET /project4/UserRegistrationCtl HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:27 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:27 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:31 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:33 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:34 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:42 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:45 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:49 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:53 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:59:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
