127.0.0.1 - - [08/Sep/2021:13:28:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:28:04 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:28:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:28:09 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:28:18 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:28:18 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:28:24 +0530] "GET /project4/ctl/TimetableCtl HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:29:48 +0530] "GET /project4/ctl/TimetableCtl HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:38:10 +0530] "GET /project4/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:45:02 +0530] "GET /project4/ctl/TimetableCtl HTTP/1.1" 200 9207
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:45:23 +0530] "GET /project4/ctl/TimetableCtl HTTP/1.1" 200 9207
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:45:23 +0530] "GET /project4/ctl/TimetableCtl HTTP/1.1" 200 9207
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:48:17 +0530] "GET /project4/ctl/TimetableListCtl HTTP/1.1" 200 13312
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:48:32 +0530] "GET /project4/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:48:39 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 12458
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:48:43 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 13312
0:0:0:0:0:0:0:1 - - [08/Sep/2021:13:51:15 +0530] "GET /project4/ctl/TimetableCtl?id=1 HTTP/1.1" 200 9303
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:00:21 +0530] "GET /project4/ctl/TimetableListCtl HTTP/1.1" 200 13288
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:01:12 +0530] "POST /project4/ctl/TimetableCtl HTTP/1.1" 200 9233
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:01:25 +0530] "POST /project4/ctl/TimetableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:01:25 +0530] "GET /project4/ctl/TimetableCtl HTTP/1.1" 200 9207
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:03:32 +0530] "GET /project4/ctl/TimetableListCtl HTTP/1.1" 200 13288
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:03:38 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 9439
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:03:44 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:03:47 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:03:47 +0530] "GET /project4/ctl/TimetableListCtl HTTP/1.1" 200 13288
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:03:51 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 9445
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:04 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:07 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:07 +0530] "GET /project4/ctl/TimetableListCtl HTTP/1.1" 200 13288
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:09 +0530] "GET /project4/ctl/TimetableCtl?id=2 HTTP/1.1" 200 9303
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:17 +0530] "GET /project4/ctl/TimetableListCtl HTTP/1.1" 200 13288
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:21 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 12866
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:26 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 13315
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:32 +0530] "POST /project4/ctl/TimetableListCtl HTTP/1.1" 200 12434
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:04:35 +0530] "GET /project4/ctl/FacultyCtl HTTP/1.1" 200 10581
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:11:49 +0530] "GET /project4/ctl/FacultyCtl HTTP/1.1" 200 10500
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:11:50 +0530] "GET /project4/ctl/FacultyCtl HTTP/1.1" 200 10500
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:12:28 +0530] "GET /project4/ctl/FacultyCtl HTTP/1.1" 200 10526
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:12:30 +0530] "GET /project4/ctl/FacultyCtl HTTP/1.1" 200 10526
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:13:04 +0530] "GET /project4/ctl/FacultyCtl HTTP/1.1" 200 10494
0:0:0:0:0:0:0:1 - - [08/Sep/2021:14:13:05 +0530] "GET /project4/ctl/FacultyCtl HTTP/1.1" 200 10494
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:43:30 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:43:33 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:43:42 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:43:42 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:43:46 +0530] "GET /project4/ctl/FacultyListCtl HTTP/1.1" 200 13600
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:44:11 +0530] "GET /project4/ctl/FacultyCtl?id=7 HTTP/1.1" 200 10681
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:44:21 +0530] "GET /project4/ctl/FacultyCtl?id=2 HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:44:26 +0530] "GET /project4/ctl/MarksheetCtl HTTP/1.1" 200 8025
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:45:16 +0530] "GET /project4/ctl/GetMarksheetCtl HTTP/1.1" 200 6202
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:45:21 +0530] "POST /project4/ctl/GetMarksheetCtl HTTP/1.1" 200 7996
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:45:31 +0530] "POST /project4/ctl/GetMarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:45:31 +0530] "GET /project4/ctl/GetMarksheetCtl HTTP/1.1" 200 6202
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:45:34 +0530] "GET /project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 11979
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:46:10 +0530] "GET /project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 11979
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:46:13 +0530] "POST /project4/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:46:13 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [08/Sep/2021:15:46:17 +0530] "GET /project4/javadoc/index.html HTTP/1.1" 404 786
