0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:31:24 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 12952
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:31:42 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:31:42 +0530] "GET /project4/ctl/UserCtl HTTP/1.1" 200 8520
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:32:39 +0530] "POST /project4/ctl/UserCtl HTTP/1.1" 200 8683
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:32:55 +0530] "POST /project4/ctl/UserCtl HTTP/1.1" 200 8546
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:00 +0530] "GET /project4/ctl/UserCtl HTTP/1.1" 200 8520
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:12 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 12906
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:16 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 8452
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:36 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:45 +0530] "GET /project4/ctl/UserListCtl HTTP/1.1" 200 12906
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:49 +0530] "GET /project4/ctl/ChangePasswordCtl HTTP/1.1" 200 7337
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:49 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 7156
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:33:56 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:34:04 +0530] "GET /project4/ctl/CollegeCtl HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:34:15 +0530] "GET /project4/ctl/CollegeListCtl HTTP/1.1" 200 9953
