127.0.0.1 - - [26/Aug/2021:10:01:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:01:41 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4875
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:01:41 +0530] "GET /project4/jq/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:01:41 +0530] "GET /project4/jq/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:01:41 +0530] "GET /project4/jsp/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:01:41 +0530] "GET /project4/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:01:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:03:36 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:03:36 +0530] "GET /project4/ErrorCtl HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:03:36 +0530] "GET /project4/jsp/error.jpg HTTP/1.1" 200 13190
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:21:12 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:28:11 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:28:11 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:28:11 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:28:11 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:28:11 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:28:11 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:29:48 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:29:48 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:29:48 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:29:48 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:29:48 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:30:15 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:30:15 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:30:15 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:35:39 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:35:39 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:35:39 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:35:39 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:35:40 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:36:30 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:36:31 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:36:31 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:36:31 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:37:54 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:37:54 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:37:54 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:37:54 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:37:54 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:37:54 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:43:45 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:43:45 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:43:46 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:44:02 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:44:02 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:44:02 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:44:02 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:44:03 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [26/Aug/2021:10:44:03 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:21 +0530] "GET /project4/jsp/LoginView.jsp HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:36 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:36 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:36 +0530] "GET /project4/ErrorCtl HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:40 +0530] "POST /project4/ErrorCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:40 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [26/Aug/2021:11:53:44 +0530] "GET /project4/ErrorCtl HTTP/1.1" 200 641
