127.0.0.1 - - [15/Jan/2022:03:32:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:32:58 +0530] "GET /project4/ HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:21 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:27 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:32 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:52 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:33:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:42 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:46 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:53 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:58 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:58 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:34:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:35:13 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:35:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:35:26 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:35:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:35:47 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:35:47 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:35:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:44:36 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:44:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:44:42 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:44:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:35 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:39 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:41 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:46 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:49 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:46:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:49:59 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:49:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:51:47 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:52:30 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:52:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:59:09 +0530] "POST /project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:59:09 +0530] "GET /project4/ForgetPasswordCtl HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [15/Jan/2022:03:59:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:00 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:19 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:19 +0530] "GET /project4/UserRegistrationCtl HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:20 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:35 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:35 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:04:35 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:27 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:27 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:27 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:30 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:30 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:30 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:31 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:31 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:06:31 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:07:55 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:07:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:07:55 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [15/Jan/2022:04:07:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
