127.0.0.1 - - [08/Jan/2022:13:58:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:20 +0530] "GET /project4/ HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:25 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:27 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:37 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:37 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:42 +0530] "GET /project4/ctl/UserCtl HTTP/1.1" 200 9109
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:58:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:59:52 +0530] "POST /project4/ctl/UserCtl HTTP/1.1" 200 9245
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:59:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:13:59:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:14:04:40 +0530] "GET /project4/ctl/UserListCtl HTTP/1.1" 200 9503
0:0:0:0:0:0:0:1 - - [08/Jan/2022:14:04:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:14:04:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:14:08:00 +0530] "GET /project4/ctl/UserListCtl HTTP/1.1" 200 9492
0:0:0:0:0:0:0:1 - - [08/Jan/2022:14:08:00 +0530] "GET /project4/ctl/UserListCtl HTTP/1.1" 200 9492
0:0:0:0:0:0:0:1 - - [08/Jan/2022:14:08:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:14:08:03 +0530] "GET /project4/ctl/UserCtl?id=1%20disabled= HTTP/1.1" 200 9109
