127.0.0.1 - - [05/Sep/2021:11:27:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Sep/2021:11:27:44 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [05/Sep/2021:11:27:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Sep/2021:11:30:39 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [05/Sep/2021:11:31:14 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2021:11:31:14 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [05/Sep/2021:11:31:27 +0530] "GET /project4/ctl/CollegeCtl HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [05/Sep/2021:11:59:44 +0530] "GET /project4/ctl/CollegeCtl HTTP/1.1" 200 7799
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:29:53 +0530] "POST /project4/ctl/CollegeCtl HTTP/1.1" 500 918
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:30:20 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:30:29 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:30:31 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:30:40 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:30:40 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:30:43 +0530] "GET /project4/ctl/CollegeCtl HTTP/1.1" 200 7799
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:31:17 +0530] "POST /project4/ctl/CollegeCtl HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:33:22 +0530] "POST /project4/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:33:22 +0530] "GET /project4/ctl/CollegeCtl HTTP/1.1" 200 7799
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:33:46 +0530] "GET /project4/ctl/CollegeListCtl HTTP/1.1" 200 10376
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:34:06 +0530] "POST /project4/ctl/CollegeListCtl HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:54:57 +0530] "POST /project4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:54:57 +0530] "GET /project4/ctl/CollegeCtl HTTP/1.1" 200 7799
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:55:12 +0530] "GET /project4/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:55:24 +0530] "GET /project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:55:24 +0530] "GET /project4/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:55:31 +0530] "GET /project4/ctl/CollegeListCtl HTTP/1.1" 200 10376
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:55:36 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:01 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:03 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:03 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:06 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:11 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:12 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:15 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:15 +0530] "GET /project4/UserRegistrationCtl HTTP/1.1" 200 6085
0:0:0:0:0:0:0:1 - - [05/Sep/2021:12:56:23 +0530] "GET /project4/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 810
