127.0.0.1 - - [14/Jan/2022:13:26:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:22 +0530] "GET /project4/ HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:33 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:37 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:50 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:26:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:10 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:10 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/overview-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/overview-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/allclasses-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:27:19 +0530] "GET /project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:31:51 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:31:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:32:22 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:32:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:04 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:14 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:14 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:21 +0530] "GET /project4/ctl/MyProfileCtl HTTP/1.1" 200 7687
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:49:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:53:33 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [14/Jan/2022:13:53:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:15:23:32 +0530] "GET /project4/ctl/FacultyListCtl HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [14/Jan/2022:15:23:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:15:23:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2022:15:23:46 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:15:23:47 +0530] "GET /project4/ctl/FacultyListCtl HTTP/1.1" 200 9785
