127.0.0.1 - - [01/Sep/2021:11:17:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:17:40 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:17:40 +0530] "GET /project4/jq/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:17:40 +0530] "GET /project4/jq/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:17:40 +0530] "GET /project4/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:17:40 +0530] "GET /project4/jsp/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:17:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:17:52 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:28:04 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:33:15 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:33:39 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:33:39 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 4131
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:33:47 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 4131
0:0:0:0:0:0:0:1 - - [01/Sep/2021:11:33:51 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:02:59 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:03:02 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:03:12 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:03:15 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:03:22 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:03:49 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:04:07 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:05:24 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:05:24 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:05:24 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:05:31 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:05:33 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:05:42 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:05:57 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:06:05 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:06:08 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:06:27 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:06:55 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:06:55 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 4772
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:07:04 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:07:07 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [01/Sep/2021:12:07:36 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
